NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
29212910	42370	48		Quilograma
29212920	42370	48		Quilograma
29212990	42370	48		Quilograma
29213011	42370	48		Quilograma
29213012	42370	48		Quilograma
29213019	42370	48		Quilograma
29213020	42370	48		Quilograma
29213090	42370	48		Quilograma
29214100	42370	48		Quilograma
29214211	42370	48		Quilograma
29214219	42370	48		Quilograma
29214221	42370	48		Quilograma
29214229	42370	48		Quilograma
29214231	42370	48		Quilograma
29214239	42370	48		Quilograma
29214241	42370	48		Quilograma
29214249	42370	48		Quilograma
29214290	42370	48		Quilograma
29214311	42370	48		Quilograma
29214319	42370	48		Quilograma
29214321	42370	48		Quilograma
29214322	42370	48		Quilograma
29214323	42370	48		Quilograma
29214329	42370	48		Quilograma
29214410	42370	48		Quilograma
29214421	42370	48		Quilograma
29214422	42370	48		Quilograma
29214429	42370	48		Quilograma
29214500	42370	48		Quilograma
29214610	42370	48		Quilograma
29214620	42370	48		Quilograma
29214630	42370	48		Quilograma
29214640	42370	48		Quilograma
29214650	42370	48		Quilograma
29214660	42370	48		Quilograma
29214670	42370	48		Quilograma
29214680	42370	48		Quilograma
29214690	42370	48		Quilograma
29214910	42370	48		Quilograma
29214921	42370	48		Quilograma
29214922	42370	48		Quilograma
29214929	42370	48		Quilograma
29214931	42370	48		Quilograma
29214939	42370	48		Quilograma
29214990	42370	48		Quilograma
29215111	42370	48		Quilograma
29215112	42370	48		Quilograma
29215119	42370	48		Quilograma
29215120	42370	48		Quilograma
29215131	42370	48		Quilograma
29215132	42370	48		Quilograma
29215133	42370	48		Quilograma
29215134	42370	48		Quilograma
29215135	42370	48		Quilograma
29215139	42370	48		Quilograma
29215190	42370	48		Quilograma
29215911	42370	48		Quilograma
29215919	42370	48		Quilograma
29215921	42370	48		Quilograma
29215929	42370	48		Quilograma
29215931	42370	48		Quilograma
29215932	42370	48		Quilograma
29215939	42370	48		Quilograma
29215990	42370	48		Quilograma
29221100	42370	48		Quilograma
29221200	42370	48		Quilograma
29221400	42370	48		Quilograma
29221500	42736	48		Quilograma
29221600	42736	48		Quilograma
29221700	42736	48		Quilograma
29221800	42736	48		Quilograma
29221911	42370	48		Quilograma
29221912	42370	48		Quilograma
29221913	42370	48		Quilograma
29221919	42370	48		Quilograma
29221921	42370	48		Quilograma
29221929	42370	48		Quilograma
29221931	42370	48		Quilograma
29221939	42370	48		Quilograma
29221941	42370	48		Quilograma
29221949	42370	48		Quilograma
29221951	42370	48		Quilograma
29221952	42370	48		Quilograma
29221959	42370	48		Quilograma
29221971	42736	48		Quilograma
29221979	42736	48		Quilograma
29221981	42736	48		Quilograma
29221989	42736	48		Quilograma
29221991	42370	48		Quilograma
29221992	42370	48		Quilograma
29221993	42370	48		Quilograma
29221994	42370	48		Quilograma
29221995	42370	48		Quilograma
29221996	42736	48		Quilograma
29221999	42370	48		Quilograma
29222100	42370	48		Quilograma
29222911	42370	48		Quilograma
29222919	42370	48		Quilograma
29222920	42370	48		Quilograma
29222990	42370	48		Quilograma
29223111	42370	48		Quilograma
29223112	42370	48		Quilograma
29223120	42370	48		Quilograma
29223130	42370	48		Quilograma
29223910	42370	48		Quilograma
29223921	42370	48		Quilograma
29223929	42370	48		Quilograma
29223990	42370	48		Quilograma
29224110	42370	48		Quilograma
29224190	42370	48		Quilograma
29224210	42370	48		Quilograma
29224220	42370	48		Quilograma
29224300	42370	48		Quilograma
29224410	42370	48		Quilograma
29224420	42370	48		Quilograma
29224910	42370	48		Quilograma
29224920	42370	48		Quilograma
29224931	42370	48		Quilograma
29224932	42370	48		Quilograma
29224940	42370	48		Quilograma
29224951	42370	48		Quilograma
29224952	42370	48		Quilograma
29224959	42370	48		Quilograma
29224961	42370	48		Quilograma
29224962	42370	48		Quilograma
29224963	42370	48		Quilograma
29224964	42370	48		Quilograma
29224969	42370	48		Quilograma
29224990	42370	48		Quilograma
29225011	42370	48		Quilograma
29225019	42370	48		Quilograma
29225031	42370	48		Quilograma
29225032	42370	48		Quilograma
29225039	42370	48		Quilograma
29225091	42370	48		Quilograma
29225099	42370	48		Quilograma
29231000	42370	48		Quilograma
29232000	42370	48		Quilograma
29233000	42736	48		Quilograma
29234000	42736	48		Quilograma
29239010	42370	48		Quilograma
29239020	42370	48		Quilograma
29239030	42370	48		Quilograma
29239040	42370	48		Quilograma
29239050	42370	48		Quilograma
29239060	42370	48		Quilograma
29239090	42370	48		Quilograma
29241100	42370	48		Quilograma
29241210	42370	48		Quilograma
29241220	42370	48		Quilograma
29241230	42370	48		Quilograma
29241911	42370	48		Quilograma
29241919	42370	48		Quilograma
29241921	42370	48		Quilograma
29241922	42370	48		Quilograma
29241929	42370	48		Quilograma
29241931	42370	48		Quilograma
29241932	42370	48		Quilograma
29241939	42370	48		Quilograma
29241942	42370	48		Quilograma
29241949	42370	48		Quilograma
29241991	42370	48		Quilograma
29241992	42370	48		Quilograma
29241993	42370	48		Quilograma
29241994	42370	48		Quilograma
29241999	42370	48		Quilograma
29242111	42370	48		Quilograma
29242119	42370	48		Quilograma
29242120	42370	48		Quilograma
29242190	42370	48		Quilograma
29242300	42370	48		Quilograma
29242400	42370	48		Quilograma
29242500	42736	48		Quilograma
29242911	42370	48		Quilograma
29242912	42370	48		Quilograma
29242913	42370	48		Quilograma
29242914	42370	48		Quilograma
29242915	42370	48		Quilograma
29242919	42370	48		Quilograma
29242920	42370	48		Quilograma
29242931	42370	48		Quilograma
29242932	42370	48		Quilograma
29242939	42370	48		Quilograma
29242941	42370	48		Quilograma
29242943	42370	48		Quilograma
29242944	42370	48		Quilograma
29242945	42370	48		Quilograma
29242946	42370	48		Quilograma
29242947	42370	48		Quilograma
29242949	42370	48		Quilograma
29242951	42370	48		Quilograma
29242952	42370	48		Quilograma
29242959	42370	48		Quilograma
29242961	42370	48		Quilograma
29242962	42370	48		Quilograma
29242963	42370	48		Quilograma
29242964	42370	48		Quilograma
29242969	42370	48		Quilograma
29242991	42370	48		Quilograma
29242992	42370	48		Quilograma
29242993	42370	48		Quilograma
29242994	42370	48		Quilograma
29242995	42370	48		Quilograma
29242996	42370	48		Quilograma
29242999	42370	48		Quilograma
29251100	42370	48		Quilograma
29251200	42370	48		Quilograma
29251910	42370	48		Quilograma
29251990	42370	48		Quilograma
29252100	42370	48		Quilograma
29252911	42370	48		Quilograma
29252919	42370	48		Quilograma
29252921	42370	48		Quilograma
29252922	42370	48		Quilograma
29252923	42370	48		Quilograma
29252929	42370	48		Quilograma
29252930	42370	48		Quilograma
29252940	42370	48		Quilograma
29252950	42370	48		Quilograma
29252990	42370	48		Quilograma
29261000	42370	48		Quilograma
29262000	42370	48		Quilograma
29263011	42370	48		Quilograma
29263012	42370	48		Quilograma
29263020	42370	48		Quilograma
29264000	42736	48		Quilograma
29269011	42370	48		Quilograma
29269012	42370	48		Quilograma
29269019	42370	48		Quilograma
29269021	42370	48		Quilograma
29269022	42370	48		Quilograma
29269023	42370	48		Quilograma
29269024	42370	48		Quilograma
29269025	42370	48		Quilograma
29269026	42370	48		Quilograma
29269029	42370	48		Quilograma
29269030	42370	48		Quilograma
29269091	42370	48		Quilograma
29269092	42370	48		Quilograma
29269093	42370	48		Quilograma
29269095	42370	48		Quilograma
29269096	42370	48		Quilograma
29269099	42370	48		Quilograma
29270010	42370	48		Quilograma
29270021	42370	48		Quilograma
29270029	42370	48		Quilograma
29270030	42370	48		Quilograma
29280011	42370	48		Quilograma
29280019	42370	48		Quilograma
29280020	42370	48		Quilograma
29280030	42370	48		Quilograma
29280041	42370	48		Quilograma
29280042	42370	48		Quilograma
29280090	42370	48		Quilograma
29291010	42370	48		Quilograma
29291021	42370	48		Quilograma
29291029	42370	48		Quilograma
29291030	42370	48		Quilograma
29291090	42370	48		Quilograma
29299011	42370	48		Quilograma
29299012	42370	48		Quilograma
29299019	42370	48		Quilograma
29299031	45383	48		Quilograma
29299039	45383	48		Quilograma
29299040	45383	48		Quilograma
29299050	45383	48		Quilograma
29299060	45383	48		Quilograma
29299090	42370	48		Quilograma
29301000	44652	48		Quilograma
29302011	42370	48		Quilograma
29302012	42370	48		Quilograma
29302013	42370	48		Quilograma
29302019	42370	48		Quilograma
29302021	42370	48		Quilograma
29302022	42370	48		Quilograma
29302023	42370	48		Quilograma
29302024	42370	48		Quilograma
29302029	42370	48		Quilograma
29303011	42370	48		Quilograma
29303012	42370	48		Quilograma
29303019	42370	48		Quilograma
29303021	42370	48		Quilograma
29303022	42370	48		Quilograma
29303029	42370	48		Quilograma
29303090	42370	48		Quilograma
29304010	42370	48		Quilograma
29304090	42370	48		Quilograma
29306000	42736	48		Quilograma
29307000	42736	48		Quilograma
29308010	42736	48		Quilograma
29308020	42736	48		Quilograma
29308030	42736	48		Quilograma
29309011	42370	48		Quilograma
29309012	42370	48		Quilograma
29309013	42370	48		Quilograma
29309019	42370	48		Quilograma
29309021	42370	48		Quilograma
29309022	42370	48		Quilograma
29309023	42370	48		Quilograma
29309029	42370	48		Quilograma
29309031	42370	48		Quilograma
29309032	42370	48		Quilograma
29309033	42370	48		Quilograma
29309034	42370	48		Quilograma
29309035	42370	48		Quilograma
29309036	42370	48		Quilograma
29309037	42370	48		Quilograma
29309039	42370	48		Quilograma
29309041	42370	48		Quilograma
29309042	42370	48		Quilograma
29309043	42370	48		Quilograma
29309049	42370	48		Quilograma
29309051	42370	48		Quilograma
29309052	42370	48		Quilograma
29309053	42370	48		Quilograma
29309054	42370	48		Quilograma
29309057	42370	48		Quilograma
29309059	42370	48		Quilograma
29309061	42370	48		Quilograma
29309069	42370	48		Quilograma
29309071	42370	48		Quilograma
29309072	42370	48		Quilograma
29309079	42370	48		Quilograma
29309081	42370	48		Quilograma
29309082	42370	48		Quilograma
29309083	42370	48		Quilograma
29309084	42370	48		Quilograma
29309085	42370	48		Quilograma
29309086	42370	48		Quilograma
29309087	42370	48		Quilograma
29309088	42370	48		Quilograma
29309089	42370	48		Quilograma
29309091	42370	48		Quilograma
29309093	42370	48		Quilograma
29309094	42370	48		Quilograma
29309095	42370	48		Quilograma
29309096	42370	48		Quilograma
29309097	42370	48		Quilograma
29309098	42370	48		Quilograma
29309099	42370	48		Quilograma
29311000	42370	48		Quilograma
29312000	42370	48		Quilograma
29314100	44652	48		Quilograma
29314200	44652	48		Quilograma
29314300	44652	48		Quilograma
29314400	44652	48		Quilograma
29314500	44652	48		Quilograma
29314600	44652	48		Quilograma
29314700	44652	48		Quilograma
29314800	44652	48		Quilograma
29314911	44652	48		Quilograma
29314912	44652	48		Quilograma
29314913	44652	48		Quilograma
29314914	44652	48		Quilograma
29314915	44652	48		Quilograma
29314916	44652	48		Quilograma
29314920	44652	48		Quilograma
29314931	45383	48		Quilograma
29314932	45383	48		Quilograma
29314939	45383	48		Quilograma
29314940	44652	48		Quilograma
29314990	44652	48		Quilograma
29315100	44652	48		Quilograma
29315200	44652	48		Quilograma
29315300	44652	48		Quilograma
29315400	44652	48		Quilograma
29315911	44652	48		Quilograma
29315912	44652	48		Quilograma
29315913	44652	48		Quilograma
29315991	44652	48		Quilograma
29315992	44652	48		Quilograma
29315993	44652	48		Quilograma
29315994	44652	48		Quilograma
29315995	45383	48		Quilograma
29315996	45383	48		Quilograma
29315998	45383	48		Quilograma
29315999	44652	48		Quilograma
29319021	42370	48		Quilograma
29319029	42370	48		Quilograma
29319041	42370	48		Quilograma
29319042	42370	48		Quilograma
29319043	42370	48		Quilograma
29319044	42370	48		Quilograma
29319045	42370	48		Quilograma
29319046	42370	48		Quilograma
29319049	42370	48		Quilograma
29319051	42370	48		Quilograma
29319052	42370	48		Quilograma
29319053	42370	48		Quilograma
29319054	42370	48		Quilograma
29319059	42370	48		Quilograma
29319061	42370	48		Quilograma
29319062	42370	48		Quilograma
29319069	42370	48		Quilograma
29319090	42370	48		Quilograma
29321100	42370	48		Quilograma
29321200	42370	48		Quilograma
29321310	42370	48		Quilograma
29321320	42370	48		Quilograma
29321400	42736	48		Quilograma
29321910	42370	48		Quilograma
29321920	42370	48		Quilograma
29321930	42370	48		Quilograma
29321940	42370	48		Quilograma
29321950	42370	48		Quilograma
29321990	42370	48		Quilograma
29322000	42370	48		Quilograma
29329100	42370	48		Quilograma
29329200	42370	48		Quilograma
29329300	42370	48		Quilograma
29329400	42370	48		Quilograma
29329500	42370	48		Quilograma
29329600	44652	48		Quilograma
29329911	42370	48		Quilograma
29329912	42370	48		Quilograma
29329913	42370	48		Quilograma
29329991	42370	48		Quilograma
29329992	42370	48		Quilograma
29329993	42370	48		Quilograma
29329994	42370	48		Quilograma
29329999	42370	48		Quilograma
29331111	42370	48		Quilograma
29331112	42370	48		Quilograma
29331119	42370	48		Quilograma
29331120	42370	48		Quilograma
29331190	42370	48		Quilograma
29331911	42370	48		Quilograma
29331919	42370	48		Quilograma
29331990	42370	48		Quilograma
29332110	42370	48		Quilograma
29332121	42370	48		Quilograma
29332129	42370	48		Quilograma
29332190	42370	48		Quilograma
29332911	42370	48		Quilograma
29332912	42370	48		Quilograma
29332913	42370	48		Quilograma
29332919	42370	48		Quilograma
29332921	42370	48		Quilograma
29332922	42370	48		Quilograma
29332923	42370	48		Quilograma
29332924	42370	48		Quilograma
29332925	42370	48		Quilograma
29332929	42370	48		Quilograma
29332930	42370	48		Quilograma
29332940	42370	48		Quilograma
29332991	42370	48		Quilograma
29332992	42370	48		Quilograma
29332993	42370	48		Quilograma
29332994	42370	48		Quilograma
29332995	42370	48		Quilograma
29332999	42370	48		Quilograma
29333110	42370	48		Quilograma
29333120	42370	48		Quilograma
29333200	42370	48		Quilograma
29333311	42370	48		Quilograma
29333312	42370	48		Quilograma
29333319	42370	48		Quilograma
29333321	42370	48		Quilograma
29333322	42370	48		Quilograma
29333329	42370	48		Quilograma
29333331	44652	48		Quilograma
29333332	44652	48		Quilograma
29333339	44652	48		Quilograma
29333341	42370	48		Quilograma
29333342	42370	48		Quilograma
29333349	42370	48		Quilograma
29333351	42370	48		Quilograma
29333352	42370	48		Quilograma
29333359	42370	48		Quilograma
29333361	42370	48		Quilograma
29333362	42370	48		Quilograma
29333363	42370	48		Quilograma
29333369	42370	48		Quilograma
29333371	42370	48		Quilograma
29333372	42370	48		Quilograma
29333379	42370	48		Quilograma
29333381	42370	48		Quilograma
29333382	42370	48		Quilograma
29333383	42370	48		Quilograma
29333384	42370	48		Quilograma
29333389	42370	48		Quilograma
29333391	42370	48		Quilograma
29333392	42370	48		Quilograma
29333393	42370	48		Quilograma
29333394	44652	48		Quilograma
29333399	42370	48		Quilograma
29333400	44652	48		Quilograma
29333500	44652	48		Quilograma
29333600	44652	48		Quilograma
29333700	44652	48		Quilograma
29333912	42370	48		Quilograma
29333913	42370	48		Quilograma
29333914	42370	48		Quilograma
29333915	42370	48		Quilograma
29333919	42370	48		Quilograma
29333921	42370	48		Quilograma
29333922	42370	48		Quilograma
29333923	42370	48		Quilograma
29333924	42370	48		Quilograma
29333925	42370	48		Quilograma
29333929	42370	48		Quilograma
29333931	42370	48		Quilograma
29333932	42370	48		Quilograma
29333933	42370	48		Quilograma
29333934	42370	48		Quilograma
29333935	42370	48		Quilograma
29333936	45383	48		Quilograma
29333937	44652	48		Quilograma
29333939	42370	48		Quilograma
29333941	45383	48		Quilograma
29333942	45383	48		Quilograma
29333943	42370	48		Quilograma
29333944	42370	48		Quilograma
29333945	42370	48		Quilograma
29333946	42370	48		Quilograma
29333948	42370	48		Quilograma
29333949	42370	48		Quilograma
29333981	42370	48		Quilograma
29333982	42370	48		Quilograma
29333983	42370	48		Quilograma
29333984	42370	48		Quilograma
29333989	42370	48		Quilograma
29333991	42370	48		Quilograma
29333992	42370	48		Quilograma
29333993	42370	48		Quilograma
29333994	42370	48		Quilograma
29333999	42370	48		Quilograma
29334110	42370	48		Quilograma
29334120	42370	48		Quilograma
29334911	42370	48		Quilograma
29334912	42370	48		Quilograma
29334913	42370	48		Quilograma
29334919	42370	48		Quilograma
29334920	42370	48		Quilograma
29334930	42370	48		Quilograma
29334940	42370	48		Quilograma
29334990	42370	48		Quilograma
29335200	42370	48		Quilograma
29335311	42370	48		Quilograma
29335312	42370	48		Quilograma
29335321	42370	48		Quilograma
29335322	42370	48		Quilograma
29335323	42370	48		Quilograma
29335330	42370	48		Quilograma
29335340	42370	48		Quilograma
29335350	42370	48		Quilograma
29335360	42370	48		Quilograma
29335371	42370	48		Quilograma
29335372	42370	48		Quilograma
29335380	42370	48		Quilograma
29335400	42370	48		Quilograma
29335510	42370	48		Quilograma
29335520	42370	48		Quilograma
29335530	42370	48		Quilograma
29335540	42370	48		Quilograma
29335911	42370	48		Quilograma
29335912	42370	48		Quilograma
29335913	42370	48		Quilograma
29335914	42370	48		Quilograma
29335915	42370	48		Quilograma
29335916	42370	48		Quilograma
29335919	42370	48		Quilograma
29335921	42370	48		Quilograma
29335922	42370	48		Quilograma
29335923	42370	48		Quilograma
29335929	42370	48		Quilograma
29335931	42370	48		Quilograma
29335932	42370	48		Quilograma
29335933	42370	48		Quilograma
29335934	42370	48		Quilograma
29335935	42370	48		Quilograma
29335939	42370	48		Quilograma
29335941	42370	48		Quilograma
29335942	42370	48		Quilograma
29335943	42370	48		Quilograma
29335944	42370	48		Quilograma
29335945	42370	48		Quilograma
29335949	42370	48		Quilograma
29335991	42370	48		Quilograma
29335992	42370	48		Quilograma
29335999	42370	48		Quilograma
29336100	42370	48		Quilograma
29336911	42370	48		Quilograma
29336912	42370	48		Quilograma
29336913	42370	48		Quilograma
29336914	42370	48		Quilograma
29336915	42370	48		Quilograma
29336916	42370	48		Quilograma
29336919	42370	48		Quilograma
29336921	42370	48		Quilograma
29336922	42370	48		Quilograma
29336923	42370	48		Quilograma
29336929	42370	48		Quilograma
29336991	42370	48		Quilograma
29336992	42370	48		Quilograma
29336999	42370	48		Quilograma
29337100	42370	48		Quilograma
29337210	42370	48		Quilograma
29337220	42370	48		Quilograma
29337910	42370	48		Quilograma
29337990	42370	48		Quilograma
29339111	42370	48		Quilograma
29339112	42370	48		Quilograma
29339113	42370	48		Quilograma
29339114	42370	48		Quilograma
29339115	42370	48		Quilograma
29339119	42370	48		Quilograma
29339121	42370	48		Quilograma
29339122	42370	48		Quilograma
29339123	42370	48		Quilograma
29339129	42370	48		Quilograma
29339131	42370	48		Quilograma
29339132	42370	48		Quilograma
29339133	42370	48		Quilograma
29339134	42370	48		Quilograma
29339139	42370	48		Quilograma
29339141	42370	48		Quilograma
29339142	42370	48		Quilograma
29339143	42370	48		Quilograma
29339149	42370	48		Quilograma
29339151	42370	48		Quilograma
29339152	42370	48		Quilograma
29339153	42370	48		Quilograma
29339159	42370	48		Quilograma
29339161	42370	48		Quilograma
29339162	42370	48		Quilograma
29339163	42370	48		Quilograma
29339164	42370	48		Quilograma
29339169	42370	48		Quilograma
29339171	42370	48		Quilograma
29339172	42370	48		Quilograma
29339173	42370	48		Quilograma
29339179	42370	48		Quilograma
29339181	42370	48		Quilograma
29339182	42370	48		Quilograma
29339183	42370	48		Quilograma
29339189	42370	48		Quilograma
29339200	42736	48		Quilograma
29339911	42370	48		Quilograma
29339912	42370	48		Quilograma
29339913	42370	48		Quilograma
29339919	42370	48		Quilograma
29339920	42370	48		Quilograma
29339931	42370	48		Quilograma
29339932	42370	48		Quilograma
29339933	42370	48		Quilograma
29339934	42370	48		Quilograma
29339935	42370	48		Quilograma
29339939	42370	48		Quilograma
29339941	42370	48		Quilograma
29339942	42370	48		Quilograma
29339943	42370	48		Quilograma
29339944	42370	48		Quilograma
29339945	42370	48		Quilograma
29339946	42370	48		Quilograma
29339947	42370	48		Quilograma
29339949	42370	48		Quilograma
29339951	42370	48		Quilograma
29339952	42370	48		Quilograma
29339953	42370	48		Quilograma
29339954	42370	48		Quilograma
29339955	42370	48		Quilograma
29339956	42370	48		Quilograma
29339959	42370	48		Quilograma
29339961	42370	48		Quilograma
29339962	42370	48		Quilograma
29339963	42370	48		Quilograma
29339969	42370	48		Quilograma
29339991	42370	48		Quilograma
29339992	42370	48		Quilograma
29339993	42370	48		Quilograma
29339995	42370	48		Quilograma
29339996	42370	48		Quilograma
29339999	42370	48		Quilograma
29341010	42370	48		Quilograma
29341020	42370	48		Quilograma
29341030	42370	48		Quilograma
29341090	42370	48		Quilograma
29342010	42370	48		Quilograma
29342020	42370	48		Quilograma
29342031	42370	48		Quilograma
29342032	42370	48		Quilograma
29342033	42370	48		Quilograma
29342034	42370	48		Quilograma
29342039	42370	48		Quilograma
29342040	42370	48		Quilograma
29342090	42370	48		Quilograma
29343010	42370	48		Quilograma
29343020	42370	48		Quilograma
29343030	42370	48		Quilograma
29343090	42370	48		Quilograma
29349111	42370	48		Quilograma
29349112	42370	48		Quilograma
29349121	42370	48		Quilograma
29349122	42370	48		Quilograma
29349123	42370	48		Quilograma
29349129	42370	48		Quilograma
29349131	42370	48		Quilograma
29349132	42370	48		Quilograma
29349133	42370	48		Quilograma
29349141	42370	48		Quilograma
29349142	42370	48		Quilograma
29349149	42370	48		Quilograma
29349150	42370	48		Quilograma
29349160	42370	48		Quilograma
29349170	42370	48		Quilograma
29349200	44652	48		Quilograma
29349911	42370	48		Quilograma
29349912	42370	48		Quilograma
29349913	42370	48		Quilograma
29349914	42370	48		Quilograma
29349915	42370	48		Quilograma
29349919	42370	48		Quilograma
29349922	42370	48		Quilograma
29349923	42370	48		Quilograma
29349924	42370	48		Quilograma
29349925	42370	48		Quilograma
29349926	42370	48		Quilograma
29349927	42370	48		Quilograma
29349929	42370	48		Quilograma
29349931	42370	48		Quilograma
29349932	42370	48		Quilograma
29349933	42370	48		Quilograma
29349934	42370	48		Quilograma
29349935	42370	48		Quilograma
29349939	42370	48		Quilograma
29349941	42370	48		Quilograma
29349942	42370	48		Quilograma
29349943	42370	48		Quilograma
29349944	42370	48		Quilograma
29349945	42370	48		Quilograma
29349946	42370	48		Quilograma
29349949	42370	48		Quilograma
29349951	42370	48		Quilograma
29349952	42370	48		Quilograma
29349953	42370	48		Quilograma
29349954	42370	48		Quilograma
29349959	42370	48		Quilograma
29349961	42370	48		Quilograma
29349969	42370	48		Quilograma
29349991	42370	48		Quilograma
29349992	42370	48		Quilograma
29349993	42370	48		Quilograma
29349999	42370	48		Quilograma
29351000	42736	48		Quilograma
29352000	42736	48		Quilograma
29353000	42736	48		Quilograma
29354000	42736	48		Quilograma
29355000	42736	48		Quilograma
29359011	42736	48		Quilograma
29359012	42736	48		Quilograma
29359013	42736	48		Quilograma
29359014	42736	48		Quilograma
29359015	42736	48		Quilograma
29359019	42736	48		Quilograma
29359021	42736	48		Quilograma
29359022	42736	48		Quilograma
29359023	42736	48		Quilograma
29359024	42736	48		Quilograma
29359025	42736	48		Quilograma
29359029	42736	48		Quilograma
29359091	42736	48		Quilograma
29359092	42736	48		Quilograma
29359093	42736	48		Quilograma
29359094	42736	48		Quilograma
29359095	42736	48		Quilograma
29359096	42736	48		Quilograma
29359099	42736	48		Quilograma
29362111	42370	48		Quilograma
29362112	42370	48		Quilograma
29362113	42370	48		Quilograma
29362119	42370	48		Quilograma
29362190	42370	48		Quilograma
29362210	42370	48		Quilograma
29362220	42370	48		Quilograma
29362290	42370	48		Quilograma
29362310	42370	48		Quilograma
29362320	42370	48		Quilograma
29362390	42370	48		Quilograma
29362410	42370	48		Quilograma
29362490	42370	48		Quilograma
29362510	42370	48		Quilograma
29362520	42370	48		Quilograma
29362590	42370	48		Quilograma
29362610	42370	48		Quilograma
29362620	42370	48		Quilograma
29362630	42370	48		Quilograma
29362690	42370	48		Quilograma
29362710	42370	48		Quilograma
29362720	42370	48		Quilograma
29362790	42370	48		Quilograma
29362811	42370	48		Quilograma
29362812	42370	48		Quilograma
29362819	42370	48		Quilograma
29362890	42370	48		Quilograma
29362911	42370	48		Quilograma
29362919	42370	48		Quilograma
29362921	42370	48		Quilograma
29362929	42370	48		Quilograma
29362931	42370	48		Quilograma
29362939	42370	48		Quilograma
29362940	42370	48		Quilograma
29362951	42370	48		Quilograma
29362952	42370	48		Quilograma
29362953	42370	48		Quilograma
29362959	42370	48		Quilograma
29362990	42370	48		Quilograma
29369000	42370	48		Quilograma
29371100	42370	48		Quilograma
29371200	42370	48		Quilograma
29371910	42370	48		Quilograma
29371920	42370	48		Quilograma
29371930	42370	48		Quilograma
29371940	42370	48		Quilograma
29371950	42370	48		Quilograma
29371990	42370	48		Quilograma
29372110	42370	48		Quilograma
29372120	42370	48		Quilograma
29372130	42370	48		Quilograma
29372140	42370	48		Quilograma
29372210	42370	48		Quilograma
29372221	42370	48		Quilograma
29372229	42370	48		Quilograma
29372231	42370	48		Quilograma
29372239	42370	48		Quilograma
29372290	42370	48		Quilograma
29372310	42370	48		Quilograma
29372321	42370	48		Quilograma
29372322	42370	48		Quilograma
29372329	42370	48		Quilograma
29372331	42370	48		Quilograma
29372339	42370	48		Quilograma
29372341	42370	48		Quilograma
29372342	42370	48		Quilograma
29372349	42370	48		Quilograma
29372351	42370	48		Quilograma
29372359	42370	48		Quilograma
29372360	42370	48		Quilograma
29372370	42370	48		Quilograma
29372391	42370	48		Quilograma
29372392	42370	48		Quilograma
29372399	42370	48		Quilograma
29372910	42370	48		Quilograma
29372920	42370	48		Quilograma
29372931	42370	48		Quilograma
29372939	42370	48		Quilograma
29372940	42370	48		Quilograma
29372950	42370	48		Quilograma
29372960	42370	48		Quilograma
29372990	42370	48		Quilograma
29375000	42370	48		Quilograma
29379010	42370	48		Quilograma
29379030	42370	48		Quilograma
29379040	42370	48		Quilograma
29379090	42370	48		Quilograma
29381000	42370	48		Quilograma
29389010	42370	48		Quilograma
29389020	42370	48		Quilograma
29389090	42370	48		Quilograma
29391110	42370	48		Quilograma
29391121	42370	48		Quilograma
29391122	42370	48		Quilograma
29391123	42370	48		Quilograma
29391131	42370	48		Quilograma
29391132	42370	48		Quilograma
29391140	42370	48		Quilograma
29391151	42370	48		Quilograma
29391152	42370	48		Quilograma
29391153	42370	48		Quilograma
29391161	42370	48		Quilograma
29391162	42370	48		Quilograma
29391169	42370	48		Quilograma
29391170	42370	48		Quilograma
29391181	42370	48		Quilograma
29391182	42370	48		Quilograma
29391191	42370	48		Quilograma
29391192	42370	48		Quilograma
29391900	42370	48		Quilograma
29392000	42370	48		Quilograma
29393010	42370	48		Quilograma
29393020	42370	48		Quilograma
29394100	42370	48		Quilograma
29394200	42370	48		Quilograma
29394300	42370	48		Quilograma
29394400	42370	48		Quilograma
29394510	44652	48		Quilograma
29394520	44652	48		Quilograma
29394530	44652	48		Quilograma
29394900	42370	48		Quilograma
29395100	42370	48		Quilograma
29395910	42370	48		Quilograma
29395920	42370	48		Quilograma
29395990	42370	48		Quilograma
29396100	42370	48		Quilograma
29396200	42370	48		Quilograma
29396300	42370	48		Quilograma
29396911	42370	48		Quilograma
29396919	42370	48		Quilograma
29396921	42370	48		Quilograma
29396929	42370	48		Quilograma
29396931	42370	48		Quilograma
29396939	42370	48		Quilograma
29396941	42370	48		Quilograma
29396942	42370	48		Quilograma
29396949	42370	48		Quilograma
29396951	42370	48		Quilograma
29396952	42370	48		Quilograma
29396959	42370	48		Quilograma
29396990	42370	48		Quilograma
29397210	44652	48		Quilograma
29397220	44652	48		Quilograma
29397290	44652	48		Quilograma
29397911	42736	48		Quilograma
29397919	42736	48		Quilograma
29397920	42736	48		Quilograma
29397931	42736	48		Quilograma
29397939	42736	48		Quilograma
29397940	42736	48		Quilograma
29397990	42736	48		Quilograma
29398010	45383	48		Quilograma
29398090	45383	48		Quilograma
29400011	42370	48		Quilograma
29400012	42370	48		Quilograma
29400013	42370	48		Quilograma
29400019	42370	48		Quilograma
29400021	42370	48		Quilograma
29400022	42370	48		Quilograma
29400023	42370	48		Quilograma
