NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
03028935	42370	48		Quilograma
03028936	42370	48		Quilograma
03028937	42370	48		Quilograma
03028938	42370	48		Quilograma
03028941	42370	48		Quilograma
03028942	42370	48		Quilograma
03028943	42370	48		Quilograma
03028944	42370	48		Quilograma
03028945	42370	48		Quilograma
03028990	42370	48		Quilograma
03029110	45017	48		Quilograma
03029190	45017	48		Quilograma
03029200	42736	48		Quilograma
03029900	42736	48		Quilograma
03031100	42370	48		Quilograma
03031200	42370	48		Quilograma
03031300	42370	48		Quilograma
03031400	42370	48		Quilograma
03031900	42370	48		Quilograma
03032300	42370	48		Quilograma
03032410	42370	48		Quilograma
03032490	42370	48		Quilograma
03032500	42370	48		Quilograma
03032600	42370	48		Quilograma
03032900	42370	48		Quilograma
03033100	42370	48		Quilograma
03033200	42370	48		Quilograma
03033300	42370	48		Quilograma
03033400	42370	48		Quilograma
03033900	42370	48		Quilograma
03034100	42370	48		Quilograma
03034200	42370	48		Quilograma
03034300	42370	48		Quilograma
03034400	42370	48		Quilograma
03034500	42370	48		Quilograma
03034600	42370	48		Quilograma
03034900	42370	48		Quilograma
03035100	42370	48		Quilograma
03035300	42370	48		Quilograma
03035400	42370	48		Quilograma
03035500	42370	48		Quilograma
03035600	42370	48		Quilograma
03035700	42370	48		Quilograma
03035910	42736	48		Quilograma
03035920	42736	48		Quilograma
03035990	42736	48		Quilograma
03036300	42370	48		Quilograma
03036400	42370	48		Quilograma
03036500	42370	48		Quilograma
03036600	42370	48		Quilograma
03036700	42370	48		Quilograma
03036800	42370	48		Quilograma
03036910	42370	48		Quilograma
03036990	42370	48		Quilograma
03038111	42370	48		Quilograma
03038112	42370	48		Quilograma
03038113	42370	48		Quilograma
03038114	42370	48		Quilograma
03038119	42370	48		Quilograma
03038190	42370	48		Quilograma
03038200	42370	48		Quilograma
03038311	42370	48		Quilograma
03038319	42370	48		Quilograma
03038321	42370	48		Quilograma
03038329	42370	48		Quilograma
03038400	42370	48		Quilograma
03038910	42370	48		Quilograma
03038920	42370	48		Quilograma
03038932	42370	48		Quilograma
03038933	42370	48		Quilograma
03038941	42370	48		Quilograma
03038942	42370	48		Quilograma
03038943	42370	48		Quilograma
03038944	42370	48		Quilograma
03038945	42370	48		Quilograma
03038946	42370	48		Quilograma
03038951	42370	48		Quilograma
03038952	42370	48		Quilograma
03038953	42370	48		Quilograma
03038954	42370	48		Quilograma
03038955	42370	48		Quilograma
03038956	42370	48		Quilograma
03038961	42370	48		Quilograma
03038962	42370	48		Quilograma
03038963	42370	48		Quilograma
03038964	42370	48		Quilograma
03038965	42370	48		Quilograma
03038990	42370	48		Quilograma
03039110	45017	48		Quilograma
03039190	45017	48		Quilograma
03039200	42736	48		Quilograma
03039910	42736	48		Quilograma
03039920	42736	48		Quilograma
03039990	42736	48		Quilograma
03043100	42370	48		Quilograma
03043210	42370	48		Quilograma
03043290	42370	48		Quilograma
03043300	42370	48		Quilograma
03043900	42370	48		Quilograma
03044100	42370	48		Quilograma
03044200	42370	48		Quilograma
03044300	42370	48		Quilograma
03044400	42370	48		Quilograma
03044500	42370	48		Quilograma
03044600	42370	48		Quilograma
03044700	42736	48		Quilograma
03044800	42736	48		Quilograma
03044910	42370	48		Quilograma
03044920	42370	48		Quilograma
03044990	42370	48		Quilograma
03045100	42370	48		Quilograma
03045200	42370	48		Quilograma
03045300	42370	48		Quilograma
03045400	42370	48		Quilograma
03045500	42370	48		Quilograma
03045600	42736	48		Quilograma
03045700	42736	48		Quilograma
03045900	42370	48		Quilograma
03046100	42370	48		Quilograma
03046210	42370	48		Quilograma
03046290	42370	48		Quilograma
03046300	42370	48		Quilograma
03046900	42370	48		Quilograma
03047100	42370	48		Quilograma
03047200	42370	48		Quilograma
03047300	42370	48		Quilograma
03047400	42370	48		Quilograma
03047500	42370	48		Quilograma
03047900	42370	48		Quilograma
03048100	42370	48		Quilograma
03048200	42370	48		Quilograma
03048300	42370	48		Quilograma
03048400	42370	48		Quilograma
03048510	42370	48		Quilograma
03048520	42370	48		Quilograma
03048600	42370	48		Quilograma
03048700	42370	48		Quilograma
03048810	42736	48		Quilograma
03048890	42736	48		Quilograma
03048910	42370	48		Quilograma
03048920	42370	48		Quilograma
