autorizador	servico	versao	ambiente	url	data_captura
MT	NFeAutorizacao	4.00	producao	https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeAutorizacao4?wsdl	20/06/2026
MT	NFeRetAutorizacao	4.00	producao	https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeRetAutorizacao4?wsdl	20/06/2026
PE	NfeInutilizacao	4.00	producao	https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeInutilizacao4	20/06/2026
PE	NfeConsultaProtocolo	4.00	producao	https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeConsultaProtocolo4	20/06/2026
PE	NfeStatusServico	4.00	producao	https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeStatusServico4	20/06/2026
PE	NfeConsultaCadastro	4.00	producao	https://nfe.sefaz.pe.gov.br/nfe-service/services/CadConsultaCadastro4?wsdl	20/06/2026
PE	RecepcaoEvento	4.00	producao	https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeRecepcaoEvento4	20/06/2026
PE	NFeAutorizacao	4.00	producao	https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeAutorizacao4	20/06/2026
PE	NFeRetAutorizacao	4.00	producao	https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeRetAutorizacao4	20/06/2026
PR	NfeInutilizacao	4.00	producao	https://nfe.sefa.pr.gov.br/nfe/NFeInutilizacao4?wsdl	20/06/2026
PR	NfeConsultaProtocolo	4.00	producao	https://nfe.sefa.pr.gov.br/nfe/NFeConsultaProtocolo4?wsdl	20/06/2026
PR	NfeStatusServico	4.00	producao	https://nfe.sefa.pr.gov.br/nfe/NFeStatusServico4?wsdl	20/06/2026
PR	NfeConsultaCadastro	4.00	producao	https://nfe.sefa.pr.gov.br/nfe/CadConsultaCadastro4?wsdl	20/06/2026
PR	RecepcaoEvento	4.00	producao	https://nfe.sefa.pr.gov.br/nfe/NFeRecepcaoEvento4?wsdl	20/06/2026
PR	NFeAutorizacao	4.00	producao	https://nfe.sefa.pr.gov.br/nfe/NFeAutorizacao4?wsdl	20/06/2026
PR	NFeRetAutorizacao	4.00	producao	https://nfe.sefa.pr.gov.br/nfe/NFeRetAutorizacao4?wsdl	20/06/2026
RS	NfeInutilizacao	4.00	producao	https://nfe.sefazrs.rs.gov.br/ws/nfeinutilizacao/nfeinutilizacao4.asmx	20/06/2026
RS	NfeConsultaProtocolo	4.00	producao	https://nfe.sefazrs.rs.gov.br/ws/NfeConsulta/NfeConsulta4.asmx	20/06/2026
RS	NfeStatusServico	4.00	producao	https://nfe.sefazrs.rs.gov.br/ws/NfeStatusServico/NfeStatusServico4.asmx	20/06/2026
RS	NfeConsultaCadastro	4.00	producao	https://cad.svrs.rs.gov.br/ws/cadconsultacadastro/cadconsultacadastro4.asmx	20/06/2026
RS	RecepcaoEvento	4.00	producao	https://nfe.sefazrs.rs.gov.br/ws/recepcaoevento/recepcaoevento4.asmx	20/06/2026
RS	NFeAutorizacao	4.00	producao	https://nfe.sefazrs.rs.gov.br/ws/NfeAutorizacao/NFeAutorizacao4.asmx	20/06/2026
RS	NFeRetAutorizacao	4.00	producao	https://nfe.sefazrs.rs.gov.br/ws/NfeRetAutorizacao/NFeRetAutorizacao4.asmx	20/06/2026
SP	NfeInutilizacao	4.00	producao	https://nfe.fazenda.sp.gov.br/ws/nfeinutilizacao4.asmx	20/06/2026
SP	NfeConsultaProtocolo	4.00	producao	https://nfe.fazenda.sp.gov.br/ws/nfeconsultaprotocolo4.asmx	20/06/2026
SP	NfeStatusServico	4.00	producao	https://nfe.fazenda.sp.gov.br/ws/nfestatusservico4.asmx	20/06/2026
SP	NfeConsultaCadastro	4.00	producao	https://nfe.fazenda.sp.gov.br/ws/cadconsultacadastro4.asmx	20/06/2026
SP	RecepcaoEvento	4.00	producao	https://nfe.fazenda.sp.gov.br/ws/nferecepcaoevento4.asmx	20/06/2026
SP	NFeAutorizacao	4.00	producao	https://nfe.fazenda.sp.gov.br/ws/nfeautorizacao4.asmx	20/06/2026
SP	NFeRetAutorizacao	4.00	producao	https://nfe.fazenda.sp.gov.br/ws/nferetautorizacao4.asmx	20/06/2026
SVAN	NfeInutilizacao	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeInutilizacao4/NFeInutilizacao4.asmx	20/06/2026
SVAN	NfeConsultaProtocolo	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeConsultaProtocolo4/NFeConsultaProtocolo4.asmx	20/06/2026
SVAN	NfeStatusServico	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeStatusServico4/NFeStatusServico4.asmx	20/06/2026
SVAN	RecepcaoEvento	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeRecepcaoEvento4/NFeRecepcaoEvento4.asmx	20/06/2026
SVAN	NFeAutorizacao	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeAutorizacao4/NFeAutorizacao4.asmx	20/06/2026
SVAN	NFeRetAutorizacao	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeRetAutorizacao4/NFeRetAutorizacao4.asmx	20/06/2026
SVRS	NfeInutilizacao	4.00	producao	https://nfe.svrs.rs.gov.br/ws/nfeinutilizacao/nfeinutilizacao4.asmx	20/06/2026
SVRS	NfeConsultaProtocolo	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeConsulta/NfeConsulta4.asmx	20/06/2026
SVRS	NfeStatusServico	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeStatusServico/NfeStatusServico4.asmx	20/06/2026
SVRS	NfeConsultaCadastro	4.00	producao	https://cad.svrs.rs.gov.br/ws/cadconsultacadastro/cadconsultacadastro4.asmx	20/06/2026
SVRS	RecepcaoEvento	4.00	producao	https://nfe.svrs.rs.gov.br/ws/recepcaoevento/recepcaoevento4.asmx	20/06/2026
SVRS	NFeAutorizacao	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeAutorizacao/NfeAutorizacao4.asmx	20/06/2026
SVRS	NFeRetAutorizacao	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeRetAutorizacao/NfeRetAutorizacao4.asmx	20/06/2026
SVC-AN	NfeInutilizacao	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeInutilizacao4/NFeInutilizacao4.asmx	20/06/2026
SVC-AN	NfeConsultaProtocolo	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeConsultaProtocolo4/NFeConsultaProtocolo4.asmx	20/06/2026
SVC-AN	NfeStatusServico	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeStatusServico4/NFeStatusServico4.asmx	20/06/2026
SVC-AN	RecepcaoEvento	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeRecepcaoEvento4/NFeRecepcaoEvento4.asmx	20/06/2026
SVC-AN	NFeAutorizacao	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeAutorizacao4/NFeAutorizacao4.asmx	20/06/2026
SVC-AN	NFeRetAutorizacao	4.00	producao	https://www.sefazvirtual.fazenda.gov.br/NFeRetAutorizacao4/NFeRetAutorizacao4.asmx	20/06/2026
SVC-RS	NfeConsultaProtocolo	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeConsulta/NfeConsulta4.asmx	20/06/2026
SVC-RS	NfeStatusServico	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeStatusServico/NfeStatusServico4.asmx	20/06/2026
SVC-RS	RecepcaoEvento	4.00	producao	https://nfe.svrs.rs.gov.br/ws/recepcaoevento/recepcaoevento4.asmx	20/06/2026
SVC-RS	NFeAutorizacao	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeAutorizacao/NfeAutorizacao4.asmx	20/06/2026
SVC-RS	NFeRetAutorizacao	4.00	producao	https://nfe.svrs.rs.gov.br/ws/NfeRetAutorizacao/NfeRetAutorizacao4.asmx	20/06/2026
AN	NFeDistribuicaoDFe	1.00	producao	https://www1.nfe.fazenda.gov.br/NFeDistribuicaoDFe/NFeDistribuicaoDFe.asmx	20/06/2026
AN	RecepcaoEvento	4.00	producao	https://www.nfe.fazenda.gov.br/NFeRecepcaoEvento4/NFeRecepcaoEvento4.asmx	20/06/2026
