category	filename	status	url	title	published	version	doc_key	size	updated_at
notas-tecnicas	Nota Técnica 2009.004 - Publicada em 30-11-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=W89LGdqZ6Kk=	Nota Técnica 2009.004 - Publicada em 30/11/2010	30-11-2010		nota-tecnica:2009.004	118599	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2009.005 (substituída pela NT 2009.006) - Publicada em 30-11-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=DssydLvB4Ds=	Nota Técnica 2009.005 (substituída pela NT 2009.006) - Publicada em 30/11/2010	30-11-2010		nota-tecnica:2009.005	526170	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2009.006 - Publicada em 16-05-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=VOYEgBgD3iU=	Nota Técnica 2009.006 - Publicada em 16/05/2011	16-05-2011		nota-tecnica:2009.006	607677	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.001 - Publicada em 29-11-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=XLkH1X%205wbw=	Nota Técnica 2010.001 - Publicada em 29/11/2010	29-11-2010		nota-tecnica:2010.001	149750	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.002 - Publicada em 29-11-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=/jxretPputg=	Nota Técnica 2010.002 - Publicada em 29/11/2010	29-11-2010		nota-tecnica:2010.002	100718	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.003 (substituída pela NT 2010.004) - Publicada em 29-11-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=xRROnuMkiNs=	Nota Técnica 2010.003 (substituída pela NT 2010.004) - Publicada em 29/11/2010	29-11-2010		nota-tecnica:2010.003	252080	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.004 - Publicada em 06-07-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=/NJarYc9nus=	Nota Técnica 2010.004 - Publicada em 06/07/2010	06-07-2010		nota-tecnica:2010.004	252034	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.005 - Publicada em 06-07-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=BMPFMBoln3w=	Nota Técnica 2010.005 - Publicada em 06/07/2010	06-07-2010		nota-tecnica:2010.005	104710	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.006 - Publicada em 16-09-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=yLKEXvriYcY=	Nota Técnica 2010.006 - Publicada em 16/09/2011	16-09-2011		nota-tecnica:2010.006	158062	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.007 - Publicada em 29-11-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=Pa6GWghiG3c=	Nota Técnica 2010.007 - Publicada em 29/11/2010	29-11-2010		nota-tecnica:2010.007	130813	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.008 - Publicada em 29-11-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=xY%20T5JoiOMc=	Nota Técnica 2010.008 - Publicada em 29/11/2010	29-11-2010		nota-tecnica:2010.008	259577	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.009 - Publicada em 10-12-2010.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=k850Io7vg/E=	Nota Técnica 2010.009 - Publicada em 10/12/2010	10-12-2010		nota-tecnica:2010.009	53363	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2010.010 - Publicada em 13-05-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=9Y3oazEBkt0=	Nota Técnica 2010.010 - Publicada em 13/05/2011	13-05-2011		nota-tecnica:2010.010	252800	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2011.001 - Publicada em 25-02-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=QheHZf7/YWs=	Nota Técnica 2011.001 - Publicada em 25/02/2011	25-02-2011		nota-tecnica:2011.001	86386	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2011.002 - Publicada em 23-03-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=Ll7tbBdZPyE=	Nota Técnica 2011.002 - Publicada em 23/03/2011	23-03-2011		nota-tecnica:2011.002	129642	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2011.003 - Publicada em 19-05-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=hNJXbmu%20l8Q=	Nota Técnica 2011.003 - Publicada em 19/05/2011	19-05-2011		nota-tecnica:2011.003	269651	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2011.004 - Publicada em 26-07-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=Z1ivX0aahCM=	Nota Técnica 2011.004 - Publicada em 26/07/2011	26-07-2011		nota-tecnica:2011.004	293047	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2011.005 - Publicada em 21-10-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=/wTuqXU5sGA=	Nota Técnica 2011.005 - Publicada em 21/10/2011	21-10-2011		nota-tecnica:2011.005	117516	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2011.006 - Publicada em 15-04-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=Q3i7ueu77HY=	Nota Técnica 2011.006 - Publicada em 15/04/2013	15-04-2013		nota-tecnica:2011.006	160754	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2011.007 - Publicada em 26-12-2011.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=okkNxGLkQ94=	Nota Técnica 2011.007 - Publicada em 26/12/2011	26-12-2011		nota-tecnica:2011.007	39598	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2012.001 - Publicada em 17-02-2012.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=U2yjcqzCLHU=	Nota Técnica 2012.001 - Publicada em 17/02/2012	17-02-2012		nota-tecnica:2012.001	153454	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2012.002 - Publicada em 24-09-2012.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=nrErNm%20QeWE=	Nota Técnica 2012.002 - Publicada em 24/09/2012	24-09-2012		nota-tecnica:2012.002	382231	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2012.003 - Publicada em 01-11-2012.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=9d6ind6OMpo=	Nota Técnica 2012.003 - Publicada em 01/11/2012	01-11-2012		nota-tecnica:2012.003	138393	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2012.004 - Publicada em 09-05-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=cjp9G%20N7Xew=	Nota Técnica 2012.004 - Publicada em 09/05/2013	09-05-2013		nota-tecnica:2012.004	1814522	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2012.005 - Publicada em 08-02-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=VmUMIa8PJAg=	Nota Técnica 2012.005 - Publicada em 08/02/2013	08-02-2013		nota-tecnica:2012.005	156016	2026-06-22T16:51:20.983Z
